stage,batch,target,book,chapter,reference,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,source_summary
chapter_discovery_l10,14,chapter_act_10,Acts,10,Acts 10,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch14_v1_summary.json
chapter_discovery_l10,14,chapter_act_11,Acts,11,Acts 11,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch14_v1_summary.json
chapter_discovery_l10,15,chapter_act_14,Acts,14,Acts 14,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch15_v1_summary.json
chapter_discovery_l10,15,chapter_act_16,Acts,16,Acts 16,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch15_v1_summary.json
chapter_discovery_l10,16,chapter_act_24,Acts,24,Acts 24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch16_v1_summary.json
chapter_discovery_l10,16,chapter_act_27,Acts,27,Acts 27,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch16_v1_summary.json
chapter_discovery_l10,16,chapter_act_28,Acts,28,Acts 28,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch16_v1_summary.json
chapter_discovery_l10,16,chapter_heb_01,Hebrews,1,Hebrews 1,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch16_v1_summary.json
chapter_discovery_l10,16,chapter_heb_02,Hebrews,2,Hebrews 2,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch16_v1_summary.json
chapter_discovery_l10,17,chapter_heb_05,Hebrews,5,Hebrews 5,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch17_v1_summary.json
chapter_discovery_l10,17,chapter_heb_07,Hebrews,7,Hebrews 7,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch17_v1_summary.json
chapter_discovery_l10,17,chapter_heb_09,Hebrews,9,Hebrews 9,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch17_v1_summary.json
chapter_discovery_l10,17,chapter_heb_10,Hebrews,10,Hebrews 10,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,results/experiments/scripturevec14/scripturevec14_qwen3_14b_chapters_justice_a32_ratio_l10_batch17_v1_summary.json
