target,book,chapter,reference,center_layer,alpha,control_accuracy,positive_accuracy,positive_delta,negative_accuracy,null_accuracy,positive_paired,paired_rescue
chapter_heb_09,Hebrews,9,Hebrews 9,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,29,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_jdg_07,Judges,7,Judges 7,29,32,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,29,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,29,32,0.4,0.4,0,0.4,0.3,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,29,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,29,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,48,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,29,48,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,29,48,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,29,48,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,29,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,29,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,29,48,0.4,0.5,0.1,0.4,0.3,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,29,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,29,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,64,0.4,0.3,-0.1,0.4,0.4,1 chg / -1 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,29,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,29,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,29,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,29,64,0.4,0.3,-0.1,0.3,0.4,1 chg / -1 net,no
chapter_jdg_09,Judges,9,Judges 9,29,64,0.4,0.3,-0.1,0.4,0.4,1 chg / -1 net,no
chapter_num_11,Numbers,11,Numbers 11,29,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,29,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,29,64,0.4,0.5,0.1,0.4,0.3,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,29,96,0.4,0.6,0.2,0.5,0.4,4 chg / +2 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,29,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,29,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,29,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,29,96,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,29,96,0.4,0.5,0.1,0.5,0.4,3 chg / +1 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,29,96,0.4,0.5,0.1,0.5,0.4,3 chg / +1 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,29,96,0.4,0.4,0,0.3,0.4,0 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,29,96,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,29,96,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,29,96,0.4,0.4,0,0.5,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,29,96,0.4,0.5,0.1,0.5,0.4,3 chg / +1 net,no
chapter_jdg_09,Judges,9,Judges 9,29,96,0.4,0.4,0,0.5,0.4,0 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,29,96,0.4,0.6,0.2,0.5,0.4,4 chg / +2 net,yes
chapter_num_22,Numbers,22,Numbers 22,29,96,0.4,0.5,0.1,0.5,0.4,3 chg / +1 net,no
chapter_num_27,Numbers,27,Numbers 27,29,96,0.4,0.5,0.1,0.4,0.3,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,30,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,30,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,30,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,30,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,30,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,30,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,30,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,30,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,30,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,30,24,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,30,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,30,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_jdg_07,Judges,7,Judges 7,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,30,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,30,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,30,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_heb_02,Hebrews,2,Hebrews 2,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,30,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,30,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,30,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,30,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,30,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_heb_02,Hebrews,2,Hebrews 2,30,64,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,30,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,30,64,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,30,64,0.4,0.3,-0.1,0.4,0.4,1 chg / -1 net,no
chapter_jdg_07,Judges,7,Judges 7,30,64,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_jdg_09,Judges,9,Judges 9,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_11,Numbers,11,Numbers 11,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_27,Numbers,27,Numbers 27,30,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,30,96,0.4,0.6,0.2,0.4,0.4,4 chg / +2 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,30,96,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,30,96,0.4,0.5,0.1,0.3,0.3,3 chg / +1 net,yes
chapter_heb_02,Hebrews,2,Hebrews 2,30,96,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,30,96,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,30,96,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,30,96,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_jdg_09,Judges,9,Judges 9,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_11,Numbers,11,Numbers 11,30,96,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_27,Numbers,27,Numbers 27,30,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,16,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,31,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,31,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,31,16,0.4,0.4,0,0.3,0.4,0 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,31,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,31,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,31,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,31,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,31,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,31,16,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,31,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_jdg_09,Judges,9,Judges 9,31,16,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_num_11,Numbers,11,Numbers 11,31,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,31,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,31,16,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,24,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,31,24,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,31,24,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,31,24,0.4,0.4,0,0.4,0.4,0 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,31,24,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,32,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_07,Acts,7,Acts 7,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_11,Acts,11,Acts 11,31,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,31,32,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,31,32,0.4,0.5,0.1,0.3,0.4,1 chg / +1 net,yes
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_02,Hebrews,2,Hebrews 2,31,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,31,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_09,Hebrews,9,Hebrews 9,31,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,31,32,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_jdg_07,Judges,7,Judges 7,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_22,Numbers,22,Numbers 22,31,32,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_27,Numbers,27,Numbers 27,31,32,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,31,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,31,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_16,Acts,16,Acts 16,31,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_act_27,Acts,27,Acts 27,31,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,31,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_heb_02,Hebrews,2,Hebrews 2,31,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_07,Hebrews,7,Hebrews 7,31,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,31,48,0.4,0.5,0.1,0.4,0.4,1 chg / +1 net,yes
chapter_heb_10,Hebrews,10,Hebrews 10,31,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,31,48,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_jdg_09,Judges,9,Judges 9,31,48,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_num_11,Numbers,11,Numbers 11,31,48,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,31,48,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_num_27,Numbers,27,Numbers 27,31,48,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_16,Acts,16,Acts 16,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_act_27,Acts,27,Acts 27,31,64,0.4,0.4,0,0.3,0.4,2 chg / +0 net,no
chapter_deu_16,Deuteronomy,16,Deuteronomy 16,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_heb_02,Hebrews,2,Hebrews 2,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_07,Hebrews,7,Hebrews 7,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_09,Hebrews,9,Hebrews 9,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_heb_10,Hebrews,10,Hebrews 10,31,64,0.4,0.4,0,0.4,0.4,2 chg / +0 net,no
chapter_jdg_07,Judges,7,Judges 7,31,64,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_jdg_09,Judges,9,Judges 9,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_11,Numbers,11,Numbers 11,31,64,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_num_22,Numbers,22,Numbers 22,31,64,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_num_27,Numbers,27,Numbers 27,31,64,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_1ch_09,1 Chronicles,9,1 Chronicles 9,31,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_1ch_29,1 Chronicles,29,1 Chronicles 29,31,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
chapter_act_07,Acts,7,Acts 7,31,96,0.4,0.5,0.1,0.3,0.4,3 chg / +1 net,yes
chapter_act_11,Acts,11,Acts 11,31,96,0.4,0.5,0.1,0.4,0.4,3 chg / +1 net,yes
